,location,property_type,size_sqft,num_bedroom,num_bathroom,floor_num,total_floor,age_years,furnishing,amenities,distance_to_metro_km,view_score,price
P40979,Kolkata,Apartment,4233,3,3,18,17,7,Semi Furnished,"['Garden', 'Elevator', 'Parking', 'Security', 'Power Backup']",1.91,5,2048512.26
P40980,Jaipur,Apartment,732,4,3,6,29,13,Unfurnished,"['Security', 'Garden', 'Gym', 'Wi-Fi', 'Elevator']",9.98,5,39476422.79
P40981,Ahmedabad,Independent House,2495,2,1,15,10,1,Fully Furnished,"['Swimming Pool', 'Gym', 'Wi-Fi', 'Club House', 'Garden', 'Elevator']",2.96,10,28258922.34
P40982,Kolkata,Villa,545,3,2,18,6,11,Semi Furnished,"['Parking', 'Security', 'Power Backup']",9.79,1,47994568.11
P40983,Pune,Apartment,2241,5,2,19,23,20,Semi Furnished,"['Power Backup', 'Wi-Fi', 'Elevator', 'Swimming Pool', 'Security']",7.19,7,18060140.96
P40984,Chandigarh,Studio,1571,1,3,18,10,10,Unfurnished,"['Gym', 'Parking', 'Elevator', 'Club House']",6.85,3,6067717.26
P40985,Jaipur,Duplex,2500,1,4,7,30,12,Semi Furnished,"['Power Backup', 'Security', 'Garden']",3.62,9,36089415.71
P40986,Bangalore,Villa,3721,2,1,14,24,9,Semi Furnished,"['Club House', 'Power Backup', 'Wi-Fi', 'Garden']",6.67,1,11064066.1
P40987,Mumbai,Villa,3445,1,2,17,30,20,Fully Furnished,"['Club House', 'Gym', 'Elevator']",5.01,1,16475189.66
P40988,Ahmedabad,Apartment,3754,1,1,6,24,11,Fully Furnished,"['Security', 'Garden', 'Club House', 'Swimming Pool']",7.76,7,10634865.08
P40989,Delhi,Studio,545,2,4,17,25,13,Semi Furnished,"['Security', 'Club House', 'Garden', 'Power Backup', 'Gym']",7.58,8,41089799.46
P40990,Mumbai,Villa,1386,2,4,9,8,6,Unfurnished,"['Swimming Pool', 'Club House', 'Garden', 'Gym', 'Wi-Fi']",5.86,9,43475922.9
P40991,Mumbai,Studio,2526,4,4,1,28,6,Fully Furnished,"['Wi-Fi', 'Parking', 'Elevator', 'Club House', 'Security', 'Power Backup']",9.81,9,42891218.54
P40992,Pune,Villa,4312,3,1,17,16,2,Unfurnished,"['Swimming Pool', 'Elevator', 'Wi-Fi', 'Power Backup', 'Gym', 'Security']",4.37,10,39494027.6
P40993,Bangalore,Villa,4749,4,3,20,17,18,Unfurnished,"['Garden', 'Gym', 'Power Backup', 'Parking']",4.19,3,17408843.39
P40994,Pune,Apartment,2412,3,1,14,8,8,Semi Furnished,"['Club House', 'Wi-Fi', 'Elevator', 'Parking', 'Power Backup', 'Swimming Pool']",2.26,7,47958424.62
P40995,Mumbai,Apartment,3381,5,4,20,22,18,Fully Furnished,"['Swimming Pool', 'Parking', 'Club House']",7.82,6,48081889.3
P40996,Hyderabad,Duplex,2919,5,1,4,19,17,Unfurnished,"['Club House', 'Wi-Fi', 'Garden']",1.31,4,1222572.16
P40997,Ahmedabad,Villa,3834,1,3,3,10,7,Semi Furnished,"['Elevator', 'Club House', 'Garden', 'Power Backup']",5.57,7,40561997.25
P40998,Bangalore,Independent House,4848,3,3,11,17,13,Semi Furnished,"['Gym', 'Security', 'Parking']",6.73,2,41872264.93
P40999,Hyderabad,Duplex,835,4,2,12,11,1,Semi Furnished,"['Garden', 'Gym', 'Parking']",5.72,5,28984981.87
P41000,Jaipur,Villa,2131,5,1,1,5,11,Semi Furnished,"['Parking', 'Wi-Fi', 'Garden', 'Gym']",5.27,10,45643271.45
P41001,Chandigarh,Studio,1394,4,3,7,21,1,Fully Furnished,"['Wi-Fi', 'Security', 'Power Backup']",2.53,10,15425544.6
P41002,Bangalore,Studio,3852,3,2,2,8,0,Semi Furnished,"['Garden', 'Club House', 'Wi-Fi', 'Security', 'Swimming Pool']",5.79,10,42237016.18
P41003,Chandigarh,Apartment,2527,5,2,20,11,20,Semi Furnished,"['Elevator', 'Wi-Fi', 'Power Backup', 'Swimming Pool']",3.64,5,9800956.83
P41004,Chennai,Studio,4747,5,3,6,24,7,Semi Furnished,"['Club House', 'Elevator', 'Swimming Pool', 'Security', 'Wi-Fi']",5.12,5,5358107.81
P41005,Delhi,Villa,4532,3,2,9,14,1,Fully Furnished,"['Power Backup', 'Wi-Fi', 'Garden', 'Club House', 'Security', 'Elevator']",3.95,7,19770840.75
P41006,Delhi,Independent House,1687,4,2,7,20,0,Fully Furnished,"['Wi-Fi', 'Elevator', 'Security', 'Parking', 'Gym']",1.51,1,29725904.49
P41007,Ahmedabad,Independent House,2919,5,3,8,7,7,Unfurnished,"['Power Backup', 'Club House', 'Elevator']",3.69,4,38182223.08
P41008,Pune,Villa,4966,4,4,19,10,17,Unfurnished,"['Swimming Pool', 'Elevator', 'Security', 'Power Backup', 'Wi-Fi', 'Gym']",3.09,6,10504864.67
P41009,Chandigarh,Studio,1589,2,4,18,8,17,Semi Furnished,"['Swimming Pool', 'Power Backup', 'Elevator', 'Garden', 'Wi-Fi', 'Security']",1.82,8,42639228.05
P41010,Mumbai,Penthouse,1509,5,3,13,19,18,Unfurnished,"['Club House', 'Swimming Pool', 'Elevator', 'Security', 'Gym', 'Garden']",7.16,4,29260361.78
P41011,Mumbai,Apartment,4341,2,4,20,7,2,Semi Furnished,"['Power Backup', 'Security', 'Parking', 'Gym', 'Wi-Fi', 'Swimming Pool']",9.26,7,26855529.5
P41012,Kolkata,Penthouse,4678,1,4,15,9,3,Semi Furnished,"['Gym', 'Garden', 'Swimming Pool']",5.11,8,7793921.11
P41013,Pune,Duplex,753,1,2,18,23,19,Fully Furnished,"['Swimming Pool', 'Gym', 'Power Backup', 'Wi-Fi', 'Security']",0.56,8,17251178.33
P41014,Pune,Independent House,1463,3,1,1,11,8,Unfurnished,"['Swimming Pool', 'Garden', 'Parking']",4.44,4,26524386.29
P41015,Chennai,Duplex,3648,3,1,2,30,19,Fully Furnished,"['Elevator', 'Power Backup', 'Wi-Fi', 'Parking', 'Garden', 'Gym']",2.66,3,16103001.19
P41016,Pune,Penthouse,3805,2,2,20,28,18,Fully Furnished,"['Elevator', 'Club House', 'Power Backup', 'Parking']",9.7,8,20880958.44
P41017,Delhi,Penthouse,4038,2,4,13,15,7,Unfurnished,"['Garden', 'Wi-Fi', 'Power Backup', 'Club House', 'Gym', 'Swimming Pool']",4.8,4,4092364.12
P41018,Hyderabad,Studio,3622,2,4,7,8,17,Fully Furnished,"['Swimming Pool', 'Power Backup', 'Gym', 'Garden', 'Wi-Fi', 'Elevator']",4.56,5,48307483.04
P41019,Chandigarh,Apartment,3034,1,3,12,24,1,Fully Furnished,"['Wi-Fi', 'Swimming Pool', 'Garden', 'Gym', 'Parking', 'Power Backup']",2.24,1,40567705.3
P41020,Ahmedabad,Studio,565,5,1,3,29,5,Fully Furnished,"['Wi-Fi', 'Power Backup', 'Club House', 'Parking', 'Elevator']",9.76,9,22575350.92
P41021,Kolkata,Studio,2727,5,1,12,25,0,Semi Furnished,"['Elevator', 'Power Backup', 'Security']",6.35,6,38912550.86
P41022,Chennai,Studio,1967,3,3,14,7,13,Fully Furnished,"['Club House', 'Power Backup', 'Swimming Pool', 'Garden', 'Gym', 'Wi-Fi']",0.55,7,33264987.06
P41023,Delhi,Studio,2982,4,1,15,21,6,Unfurnished,"['Swimming Pool', 'Club House', 'Parking', 'Gym']",8.08,7,16788925.61
P41024,Jaipur,Penthouse,4182,5,1,4,8,6,Unfurnished,"['Parking', 'Gym', 'Garden', 'Elevator', 'Wi-Fi', 'Club House']",0.57,6,39355452.71
P41025,Jaipur,Duplex,4279,3,1,4,7,16,Semi Furnished,"['Wi-Fi', 'Gym', 'Elevator', 'Club House', 'Garden', 'Security']",2.03,5,5060514.79
P41026,Mumbai,Independent House,1686,4,2,10,7,8,Unfurnished,"['Club House', 'Security', 'Swimming Pool']",7.67,8,34989642.73
P41027,Ahmedabad,Studio,3299,2,3,20,27,16,Fully Furnished,"['Wi-Fi', 'Garden', 'Parking', 'Power Backup']",8.7,10,36861788.85
P41028,Pune,Penthouse,4135,3,4,16,7,12,Semi Furnished,"['Garden', 'Security', 'Wi-Fi', 'Club House', 'Swimming Pool']",5.93,10,45978900.59
P41029,Chennai,Villa,2682,3,2,4,27,2,Semi Furnished,"['Power Backup', 'Gym', 'Parking', 'Security', 'Wi-Fi']",4.25,9,41256135.14
P41030,Mumbai,Villa,2920,4,3,15,22,10,Unfurnished,"['Wi-Fi', 'Garden', 'Elevator']",3.63,6,22228385.1
P41031,Hyderabad,Villa,3887,3,1,19,10,14,Semi Furnished,"['Power Backup', 'Elevator', 'Swimming Pool', 'Garden', 'Wi-Fi']",6.47,6,43673216.74
P41032,Delhi,Duplex,646,3,1,2,9,15,Fully Furnished,"['Wi-Fi', 'Club House', 'Gym']",6.08,7,30033576.65
P41033,Chandigarh,Villa,3498,1,4,16,18,15,Fully Furnished,"['Swimming Pool', 'Club House', 'Security', 'Garden', 'Wi-Fi', 'Gym']",9.02,8,34112506.18
P41034,Chennai,Penthouse,821,5,2,9,29,7,Fully Furnished,"['Parking', 'Security', 'Elevator', 'Gym', 'Power Backup', 'Wi-Fi']",4.09,1,2936430.51
P41035,Bangalore,Studio,1093,1,4,10,10,2,Fully Furnished,"['Club House', 'Garden', 'Swimming Pool', 'Parking', 'Gym']",1.94,7,37275678.96
P41036,Ahmedabad,Studio,3507,2,4,9,16,10,Fully Furnished,"['Elevator', 'Power Backup', 'Club House']",6.46,6,17110151.42
P41037,Hyderabad,Studio,3729,1,4,5,11,20,Fully Furnished,"['Club House', 'Swimming Pool', 'Power Backup', 'Elevator', 'Garden', 'Parking']",1.89,1,13065479.65
P41038,Mumbai,Penthouse,3355,4,4,10,15,7,Semi Furnished,"['Gym', 'Club House', 'Parking', 'Wi-Fi']",7.93,8,46477222.07
P41039,Hyderabad,Studio,1913,1,4,8,13,15,Fully Furnished,"['Wi-Fi', 'Parking', 'Club House']",2.52,7,5839466.39
P41040,Mumbai,Villa,4743,2,3,7,24,11,Semi Furnished,"['Parking', 'Club House', 'Gym']",9.34,6,17827108.1
P41041,Hyderabad,Duplex,3089,3,4,9,22,2,Unfurnished,"['Security', 'Gym', 'Club House']",4.6,7,35939422.62
P41042,Chandigarh,Studio,3251,2,4,9,15,1,Semi Furnished,"['Swimming Pool', 'Wi-Fi', 'Security', 'Power Backup', 'Elevator']",0.76,4,36965142.35
P41043,Pune,Independent House,3023,5,1,10,8,2,Semi Furnished,"['Wi-Fi', 'Security', 'Power Backup']",8.31,2,1833535.09
P41044,Jaipur,Studio,1846,4,3,20,21,3,Semi Furnished,"['Power Backup', 'Security', 'Elevator', 'Club House']",1.2,8,16795020.03
P41045,Kolkata,Studio,4044,4,1,8,19,0,Unfurnished,"['Elevator', 'Club House', 'Garden', 'Power Backup', 'Gym']",4.82,3,43722569.08
P41046,Hyderabad,Independent House,4035,5,4,20,5,12,Fully Furnished,"['Swimming Pool', 'Parking', 'Gym', 'Garden', 'Security', 'Power Backup']",5.95,8,47495532.88
P41047,Hyderabad,Studio,4346,2,3,11,17,10,Semi Furnished,"['Elevator', 'Garden', 'Club House', 'Swimming Pool', 'Wi-Fi']",2.42,10,9524696.18
P41048,Hyderabad,Studio,1447,2,1,12,12,20,Semi Furnished,"['Elevator', 'Parking', 'Garden', 'Wi-Fi', 'Power Backup']",8.64,10,33698759.49
P41049,Kolkata,Villa,2483,3,1,16,19,12,Fully Furnished,"['Wi-Fi', 'Elevator', 'Club House', 'Garden', 'Security', 'Parking']",2.94,5,743692.45
P41050,Pune,Penthouse,855,3,2,4,7,6,Fully Furnished,"['Club House', 'Gym', 'Parking', 'Garden', 'Swimming Pool', 'Elevator']",6.87,2,1712118.05
P41051,Ahmedabad,Duplex,3476,4,4,2,5,10,Semi Furnished,"['Club House', 'Swimming Pool', 'Elevator', 'Parking', 'Wi-Fi']",6.35,5,21461064.05
P41052,Bangalore,Apartment,2519,3,2,14,8,2,Unfurnished,"['Swimming Pool', 'Power Backup', 'Security', 'Elevator']",6.86,7,34976307.27
P41053,Ahmedabad,Duplex,1890,3,3,8,12,0,Semi Furnished,"['Elevator', 'Swimming Pool', 'Security', 'Club House']",2.65,4,2344275.39
P41054,Chandigarh,Penthouse,4765,1,3,14,12,15,Semi Furnished,"['Elevator', 'Wi-Fi', 'Power Backup', 'Parking', 'Garden', 'Swimming Pool']",3,8,45339920.24
P41055,Ahmedabad,Penthouse,3463,3,4,13,29,20,Fully Furnished,"['Garden', 'Elevator', 'Power Backup', 'Swimming Pool', 'Club House']",7.34,1,38105225.01
P41056,Kolkata,Independent House,1053,3,4,12,14,15,Fully Furnished,"['Elevator', 'Parking', 'Wi-Fi']",7.12,7,37817267.28
P41057,Kolkata,Studio,2189,4,3,9,15,4,Unfurnished,"['Swimming Pool', 'Gym', 'Wi-Fi', 'Power Backup']",8.74,2,25936210.03
P41058,Mumbai,Penthouse,3050,4,1,14,22,2,Unfurnished,"['Elevator', 'Power Backup', 'Parking']",8.92,9,44985149.54
P41059,Delhi,Studio,727,3,3,14,22,14,Unfurnished,"['Gym', 'Garden', 'Wi-Fi', 'Elevator']",8.36,7,2024933.31
P41060,Mumbai,Apartment,2963,2,4,2,27,6,Unfurnished,"['Swimming Pool', 'Parking', 'Garden', 'Elevator']",9.64,9,38614052.92
P41061,Chandigarh,Penthouse,3510,5,4,12,19,2,Unfurnished,"['Swimming Pool', 'Elevator', 'Wi-Fi', 'Power Backup']",5.72,2,13666248.12
P41062,Bangalore,Apartment,1622,4,1,9,6,3,Unfurnished,"['Security', 'Garden', 'Elevator']",1.14,9,45582709.32
P41063,Bangalore,Independent House,4589,4,1,4,19,7,Fully Furnished,"['Elevator', 'Wi-Fi', 'Gym', 'Parking']",3.23,10,28866079.56
P41064,Delhi,Studio,2412,1,3,16,12,12,Fully Furnished,"['Garden', 'Gym', 'Power Backup', 'Security', 'Parking', 'Wi-Fi']",5.41,6,20963353.46
P41065,Jaipur,Apartment,1898,5,1,14,28,2,Semi Furnished,"['Swimming Pool', 'Power Backup', 'Parking', 'Gym', 'Security']",9.07,3,46954148.44
P41066,Chandigarh,Villa,905,3,4,8,5,19,Fully Furnished,"['Wi-Fi', 'Power Backup', 'Swimming Pool', 'Garden', 'Gym', 'Security']",6.19,1,1717201.82
P41067,Mumbai,Duplex,4700,5,2,16,6,20,Semi Furnished,"['Parking', 'Club House', 'Garden', 'Swimming Pool', 'Wi-Fi', 'Gym']",7.18,4,9240945.46
P41068,Pune,Duplex,4557,2,3,13,16,14,Fully Furnished,"['Garden', 'Gym', 'Security', 'Power Backup']",5.23,7,41845790.12
P41069,Chandigarh,Studio,4977,5,1,12,25,0,Fully Furnished,"['Security', 'Swimming Pool', 'Wi-Fi', 'Garden', 'Parking', 'Club House']",2.87,9,36719948.95
P41070,Bangalore,Villa,2996,1,1,19,12,6,Unfurnished,"['Elevator', 'Security', 'Wi-Fi']",5.52,5,27308893.72
P41071,Pune,Studio,2612,1,3,10,29,13,Unfurnished,"['Elevator', 'Swimming Pool', 'Gym']",5.17,9,9934285.4
P41072,Ahmedabad,Studio,1650,5,4,2,6,17,Semi Furnished,"['Parking', 'Swimming Pool', 'Elevator']",2.31,9,13311830.97
P41073,Pune,Penthouse,2684,4,4,2,15,5,Unfurnished,"['Parking', 'Gym', 'Security']",3.36,4,43521492.7
P41074,Chennai,Studio,1972,3,2,3,26,9,Semi Furnished,"['Wi-Fi', 'Parking', 'Gym', 'Swimming Pool', 'Power Backup', 'Security']",8.88,10,47747015.58
P41075,Bangalore,Duplex,2813,3,2,1,26,16,Unfurnished,"['Club House', 'Power Backup', 'Wi-Fi', 'Elevator', 'Gym', 'Garden']",1.2,7,5313258.63
P41076,Chennai,Studio,902,1,3,15,10,13,Semi Furnished,"['Security', 'Power Backup', 'Parking', 'Club House', 'Wi-Fi']",6.67,3,46053389.15
P41077,Kolkata,Studio,3236,4,1,7,6,13,Unfurnished,"['Club House', 'Wi-Fi', 'Gym', 'Swimming Pool', 'Power Backup']",2.72,7,11719782.29
P41078,Kolkata,Villa,4626,5,4,3,24,2,Semi Furnished,"['Garden', 'Club House', 'Security']",3.07,6,40939380.94
P41079,Pune,Apartment,2195,4,4,6,13,5,Semi Furnished,"['Gym', 'Swimming Pool', 'Wi-Fi']",3.47,5,40250488.32
P41080,Mumbai,Studio,2830,4,4,9,29,0,Fully Furnished,"['Club House', 'Swimming Pool', 'Gym', 'Wi-Fi']",4.41,9,13557928.64
P41081,Jaipur,Villa,1345,4,3,16,16,0,Fully Furnished,"['Wi-Fi', 'Gym', 'Elevator', 'Power Backup']",4.19,7,30366812.72
P41082,Chandigarh,Independent House,898,1,1,3,24,9,Semi Furnished,"['Gym', 'Elevator', 'Security', 'Garden', 'Club House', 'Parking']",6.32,2,42161764.94
P41083,Mumbai,Villa,2196,2,4,19,24,14,Fully Furnished,"['Power Backup', 'Parking', 'Garden', 'Club House', 'Gym']",5.89,6,41252360.03
P41084,Chennai,Apartment,3447,1,4,16,23,13,Semi Furnished,"['Club House', 'Elevator', 'Power Backup', 'Wi-Fi']",3.69,9,44892133.19
P41085,Chandigarh,Penthouse,4618,1,1,11,25,5,Unfurnished,"['Swimming Pool', 'Wi-Fi', 'Gym', 'Parking', 'Garden', 'Elevator']",5.48,3,4043381.37
P41086,Kolkata,Studio,3618,1,3,2,6,6,Fully Furnished,"['Parking', 'Gym', 'Power Backup', 'Wi-Fi', 'Elevator']",4.25,4,26837185.02
P41087,Chandigarh,Independent House,4752,3,4,10,27,10,Semi Furnished,"['Garden', 'Power Backup', 'Swimming Pool', 'Club House', 'Security', 'Gym']",0.85,2,4695526.3
P41088,Ahmedabad,Penthouse,4493,3,1,17,16,4,Semi Furnished,"['Gym', 'Swimming Pool', 'Power Backup', 'Wi-Fi']",1.61,8,12055078.29
P41089,Delhi,Penthouse,3504,1,3,10,11,4,Fully Furnished,"['Club House', 'Power Backup', 'Wi-Fi', 'Garden']",5.52,2,22850358.08
P41090,Delhi,Studio,3896,1,4,7,30,20,Unfurnished,"['Power Backup', 'Gym', 'Parking']",3.2,1,18030201.4
P41091,Jaipur,Penthouse,1549,3,3,7,10,3,Fully Furnished,"['Elevator', 'Swimming Pool', 'Security', 'Parking']",3.59,8,2228673.48
P41092,Bangalore,Studio,1455,5,4,15,21,10,Semi Furnished,"['Garden', 'Elevator', 'Gym', 'Swimming Pool', 'Security', 'Wi-Fi']",5.25,3,12599178.04
P41093,Delhi,Duplex,3961,1,3,14,18,14,Unfurnished,"['Garden', 'Gym', 'Security', 'Swimming Pool', 'Wi-Fi']",0.94,10,32475301.94
P41094,Delhi,Duplex,2480,4,4,18,21,16,Semi Furnished,"['Garden', 'Parking', 'Club House', 'Security', 'Swimming Pool']",6.72,1,3227016.43
P41095,Jaipur,Apartment,3427,1,3,20,21,8,Fully Furnished,"['Wi-Fi', 'Club House', 'Gym']",4.06,5,20477099.8
P41096,Kolkata,Duplex,4455,5,4,10,20,16,Fully Furnished,"['Garden', 'Elevator', 'Wi-Fi', 'Gym']",5.02,9,9491570.53
P41097,Delhi,Apartment,3703,1,3,17,29,19,Unfurnished,"['Security', 'Power Backup', 'Elevator', 'Garden', 'Wi-Fi']",1.15,1,41991749.28
P41098,Delhi,Villa,2839,5,3,17,27,13,Fully Furnished,"['Gym', 'Garden', 'Elevator', 'Power Backup', 'Swimming Pool', 'Wi-Fi']",4.53,5,13764812.64
P41099,Chandigarh,Independent House,959,2,1,9,7,14,Unfurnished,"['Parking', 'Swimming Pool', 'Garden']",8.23,5,42125803.28
P41100,Pune,Duplex,2766,5,4,1,18,17,Semi Furnished,"['Parking', 'Elevator', 'Wi-Fi', 'Swimming Pool', 'Power Backup']",1.86,3,19253968.69
P41101,Hyderabad,Villa,1825,4,3,7,21,9,Semi Furnished,"['Elevator', 'Swimming Pool', 'Garden', 'Club House', 'Power Backup']",9.68,4,37871629.73
P41102,Bangalore,Studio,3312,5,1,11,22,8,Fully Furnished,"['Elevator', 'Swimming Pool', 'Power Backup']",4,8,33066951.09
P41103,Jaipur,Studio,1104,4,3,10,10,0,Unfurnished,"['Club House', 'Elevator', 'Parking', 'Security', 'Gym']",2.26,4,18613860.6
P41104,Chandigarh,Penthouse,4414,1,2,18,13,0,Semi Furnished,"['Power Backup', 'Parking', 'Club House', 'Elevator', 'Gym', 'Swimming Pool']",8.05,9,38743259.17
P41105,Jaipur,Villa,4416,3,4,2,14,1,Unfurnished,"['Power Backup', 'Elevator', 'Security']",1.61,3,6329026.83
P41106,Kolkata,Apartment,2176,4,2,15,11,17,Semi Furnished,"['Swimming Pool', 'Power Backup', 'Club House', 'Garden', 'Parking']",5.6,1,10256399.17
P41107,Kolkata,Villa,692,4,3,20,30,20,Semi Furnished,"['Parking', 'Security', 'Club House', 'Power Backup', 'Gym']",4.13,9,42176827.55
P41108,Bangalore,Penthouse,1985,2,4,11,27,11,Semi Furnished,"['Club House', 'Wi-Fi', 'Elevator', 'Gym', 'Parking']",7.6,7,28467594.2
P41109,Jaipur,Studio,615,5,4,4,30,13,Fully Furnished,"['Gym', 'Garden', 'Elevator']",9.78,3,15608403.01
P41110,Pune,Penthouse,2437,2,3,17,8,20,Semi Furnished,"['Security', 'Garden', 'Wi-Fi']",1.06,2,9818517.96
P41111,Bangalore,Studio,4074,4,2,13,30,3,Fully Furnished,"['Wi-Fi', 'Parking', 'Elevator', 'Garden', 'Club House']",0.98,8,36177160.28
P41112,Jaipur,Apartment,4418,5,2,7,30,0,Semi Furnished,"['Gym', 'Swimming Pool', 'Security']",4.87,6,24244652.37
P41113,Delhi,Apartment,2335,2,3,2,26,13,Unfurnished,"['Club House', 'Power Backup', 'Parking', 'Garden', 'Wi-Fi', 'Security']",0.88,1,19266376.05
P41114,Pune,Villa,4124,4,4,14,10,4,Semi Furnished,"['Gym', 'Club House', 'Power Backup', 'Parking', 'Swimming Pool', 'Garden']",9.8,2,18749151.19
P41115,Mumbai,Duplex,4427,1,2,14,12,17,Semi Furnished,"['Club House', 'Security', 'Garden', 'Swimming Pool', 'Gym', 'Elevator']",9.72,4,48868156.38
P41116,Hyderabad,Independent House,1132,2,1,14,15,12,Semi Furnished,"['Club House', 'Wi-Fi', 'Parking', 'Elevator', 'Garden', 'Gym']",9.76,4,38191909.15
P41117,Chandigarh,Studio,780,2,1,10,28,8,Semi Furnished,"['Wi-Fi', 'Power Backup', 'Swimming Pool', 'Club House', 'Security']",3.04,4,35994586.06
P41118,Bangalore,Duplex,3279,3,3,4,10,2,Unfurnished,"['Elevator', 'Swimming Pool', 'Wi-Fi', 'Parking', 'Power Backup']",3.31,1,1698867.45
P41119,Ahmedabad,Independent House,601,1,3,8,29,15,Unfurnished,"['Wi-Fi', 'Parking', 'Garden']",1.68,6,13072580.65
P41120,Mumbai,Penthouse,4832,4,1,8,23,12,Unfurnished,"['Elevator', 'Gym', 'Security', 'Swimming Pool', 'Power Backup']",5.46,5,17647086.74
P41121,Chennai,Independent House,3771,1,3,14,24,8,Semi Furnished,"['Club House', 'Wi-Fi', 'Swimming Pool', 'Gym']",6.1,10,3264935.3
P41122,Kolkata,Villa,4751,3,4,6,8,4,Unfurnished,"['Garden', 'Swimming Pool', 'Club House']",6.22,5,40898169.01
P41123,Chennai,Duplex,1529,2,3,17,16,6,Unfurnished,"['Garden', 'Power Backup', 'Gym', 'Parking']",9.33,9,3046023.47
P41124,Bangalore,Apartment,2665,1,1,12,30,5,Fully Furnished,"['Power Backup', 'Wi-Fi', 'Swimming Pool']",9.23,4,13389611.74
P41125,Chennai,Villa,3633,4,2,10,20,2,Fully Furnished,"['Elevator', 'Club House', 'Parking', 'Wi-Fi', 'Gym', 'Garden']",9.53,10,49556332.04
P41126,Delhi,Apartment,2946,5,1,1,24,5,Unfurnished,"['Garden', 'Parking', 'Security', 'Gym']",1.86,9,15885567.26
P41127,Bangalore,Studio,1167,2,2,2,23,5,Fully Furnished,"['Swimming Pool', 'Security', 'Club House', 'Power Backup']",9.84,7,21909323.15
P41128,Mumbai,Villa,1835,4,2,1,21,0,Fully Furnished,"['Swimming Pool', 'Garden', 'Gym', 'Security']",9.67,9,39506275.76
P41129,Chennai,Studio,871,2,1,19,14,10,Unfurnished,"['Power Backup', 'Parking', 'Gym', 'Club House']",9.97,6,30844970.9
P41130,Ahmedabad,Studio,4095,4,3,20,8,6,Semi Furnished,"['Garden', 'Security', 'Wi-Fi', 'Swimming Pool', 'Power Backup']",7.49,10,49127915.95
P41131,Pune,Villa,4742,3,1,9,10,3,Fully Furnished,"['Elevator', 'Gym', 'Power Backup', 'Security', 'Wi-Fi']",0.58,8,28529761.71
P41132,Jaipur,Studio,4059,4,4,1,28,19,Fully Furnished,"['Security', 'Power Backup', 'Club House', 'Elevator']",4.65,4,26675009.88
P41133,Mumbai,Studio,2540,4,2,10,14,14,Semi Furnished,"['Garden', 'Parking', 'Swimming Pool', 'Power Backup']",6.27,3,30153816.24
P41134,Ahmedabad,Studio,502,5,1,13,8,1,Unfurnished,"['Wi-Fi', 'Security', 'Elevator', 'Garden', 'Parking']",1.26,7,38446053.62
P41135,Jaipur,Independent House,551,2,2,16,26,20,Unfurnished,"['Wi-Fi', 'Security', 'Club House', 'Power Backup', 'Garden', 'Swimming Pool']",8.73,1,14757571.82
P41136,Chandigarh,Apartment,1860,5,3,12,17,19,Semi Furnished,"['Wi-Fi', 'Garden', 'Swimming Pool', 'Security', 'Club House', 'Gym']",3.1,3,19368771.62
P41137,Bangalore,Duplex,1472,4,1,18,15,1,Fully Furnished,"['Gym', 'Parking', 'Wi-Fi']",8.57,1,33199427.36
P41138,Jaipur,Villa,2432,3,1,14,9,20,Fully Furnished,"['Security', 'Gym', 'Garden', 'Parking', 'Club House']",9.5,2,10790546.58
P41139,Mumbai,Duplex,3008,4,1,8,6,19,Fully Furnished,"['Wi-Fi', 'Elevator', 'Parking', 'Security']",5.02,4,14641885.15
P41140,Mumbai,Penthouse,593,2,2,19,26,16,Semi Furnished,"['Elevator', 'Gym', 'Security', 'Swimming Pool', 'Club House', 'Wi-Fi']",3.11,3,34911292.91
P41141,Ahmedabad,Villa,3476,3,4,11,18,0,Fully Furnished,"['Gym', 'Club House', 'Parking']",7.31,6,43873074.43
P41142,Ahmedabad,Villa,2439,1,2,12,20,5,Fully Furnished,"['Security', 'Wi-Fi', 'Swimming Pool']",0.94,4,14415009.14
P41143,Chandigarh,Apartment,777,4,3,17,13,8,Semi Furnished,"['Wi-Fi', 'Swimming Pool', 'Club House']",8.53,6,47935761.95
P41144,Chandigarh,Villa,4747,3,3,13,12,19,Semi Furnished,"['Swimming Pool', 'Power Backup', 'Elevator', 'Garden']",4.03,2,6846861.68
P41145,Jaipur,Studio,1446,3,2,15,10,14,Unfurnished,"['Power Backup', 'Parking', 'Wi-Fi', 'Garden', 'Club House']",5.95,5,41951977.24
P41146,Delhi,Studio,2330,5,2,7,8,12,Unfurnished,"['Power Backup', 'Parking', 'Garden', 'Elevator', 'Security', 'Wi-Fi']",8.03,6,22819845.26
P41147,Chandigarh,Duplex,1812,4,3,18,27,2,Fully Furnished,"['Parking', 'Security', 'Wi-Fi', 'Power Backup']",2.52,7,45121120.69
P41148,Chennai,Studio,3044,3,3,7,15,17,Semi Furnished,"['Gym', 'Swimming Pool', 'Parking', 'Security', 'Club House']",1.88,5,30528803.45
P41149,Delhi,Apartment,572,4,3,2,11,11,Fully Furnished,"['Garden', 'Parking', 'Wi-Fi']",4.41,3,26079388.33
P41150,Delhi,Duplex,1461,5,2,12,21,11,Fully Furnished,"['Parking', 'Garden', 'Swimming Pool', 'Elevator', 'Gym']",6.62,4,38203808.64
