X,location,property_type,size_sqft,num_bedroom,num_bathroom,floor_num,total_floor,age_years,furnishing,amenities,distance_to_metro_km,view_score,price
P105228,Chennai,Apartment,1066,2,4,16,13,8,Unfurnished,"['Power Backup', 'Wi-Fi', 'Swimming Pool']",1.1,5,17173760.67
P45109,Hyderabad,Villa,2172,2,3,16,26,12,Unfurnished,"['Power Backup', 'Security', 'Gym', 'Garden', 'Club House']",7.39,5,38194843.49
P42968,Kolkata,Independent House,2381,4,3,10,25,12,Unfurnished,"['Swimming Pool', 'Security', 'Garden', 'Parking', 'Wi-Fi']",1.1,10,2965914.23
P60248,Mumbai,Apartment,4122,5,2,19,5,0,Unfurnished,"['Elevator', 'Club House', 'Gym', 'Power Backup', 'Garden', 'Swimming Pool']",9.87,6,7366019.19
P93079,Hyderabad,Apartment,1426,1,2,8,24,8,Semi Furnished,"['Security', 'Parking', 'Elevator', 'Power Backup']",9.03,5,26295117.49
P50038,Mumbai,Duplex,3847,2,1,1,11,3,Unfurnished,"['Power Backup', 'Gym', 'Parking']",2.47,5,43676675.5
P88074,Bangalore,Studio,4887,3,3,1,18,1,Fully Furnished,"['Swimming Pool', 'Parking', 'Elevator', 'Security', 'Garden']",7.18,9,46256998.62
P34814,Jaipur,Apartment,3480,3,4,13,12,12,Semi Furnished,"['Parking', 'Garden', 'Club House']",8.75,2,25983613.42
P21428,Kolkata,Penthouse,2014,2,1,11,14,10,Semi Furnished,"['Swimming Pool', 'Elevator', 'Security', 'Gym', 'Power Backup']",3.51,4,26635500.16
P72347,Ahmedabad,Apartment,4301,4,2,20,16,11,Semi Furnished,"['Power Backup', 'Club House', 'Garden']",2.28,6,6777694.35
P55088,Bangalore,Independent House,4147,2,2,2,11,9,Semi Furnished,"['Gym', 'Swimming Pool', 'Garden']",6.38,9,47957800.32
P91198,Ahmedabad,Villa,715,3,4,10,18,13,Unfurnished,"['Parking', 'Swimming Pool', 'Elevator']",5.57,9,44565543.63
P38037,Chennai,Duplex,4414,3,2,11,15,13,Semi Furnished,"['Swimming Pool', 'Wi-Fi', 'Gym', 'Security']",8.03,6,30091513.9
P57021,Bangalore,Villa,1173,3,1,10,21,4,Fully Furnished,"['Security', 'Parking', 'Power Backup', 'Swimming Pool', 'Wi-Fi']",3.49,2,26738259.95
P51294,Hyderabad,Villa,1367,1,3,11,7,18,Semi Furnished,"['Garden', 'Elevator', 'Swimming Pool', 'Gym', 'Club House']",2.87,3,41712638.55
P15079,Jaipur,Independent House,3904,1,4,7,13,9,Fully Furnished,"['Club House', 'Parking', 'Swimming Pool', 'Garden', 'Elevator']",3,1,48158042.92
P39622,Delhi,Villa,2321,4,3,1,24,2,Fully Furnished,"['Gym', 'Security', 'Elevator', 'Club House', 'Garden']",2.46,10,18787744.46
P66807,Pune,Villa,4840,3,4,11,21,10,Semi Furnished,"['Wi-Fi', 'Club House', 'Swimming Pool', 'Parking']",1.81,1,1939172.16
P104017,Hyderabad,Apartment,2024,3,4,3,20,7,Semi Furnished,"['Swimming Pool', 'Garden', 'Wi-Fi']",9.38,2,49157504.51
P62056,Mumbai,Villa,1153,5,1,11,15,1,Unfurnished,"['Elevator', 'Parking', 'Power Backup']",6.22,5,45053213.87
P47993,Chandigarh,Studio,730,3,1,5,17,2,Fully Furnished,"['Power Backup', 'Wi-Fi', 'Club House', 'Gym', 'Security', 'Garden']",5.37,6,4338522.56
P47120,Pune,Penthouse,4306,1,3,13,27,11,Semi Furnished,"['Elevator', 'Swimming Pool', 'Garden', 'Power Backup', 'Gym', 'Club House']",1.99,7,33745665.36
P33112,Pune,Independent House,1281,5,2,8,13,18,Unfurnished,"['Parking', 'Club House', 'Power Backup']",9.13,3,662295.01
P22219,Delhi,Studio,2587,1,1,14,28,4,Unfurnished,"['Gym', 'Wi-Fi', 'Parking']",5.41,6,9472222.54
P100712,Bangalore,Independent House,1003,2,1,3,25,17,Semi Furnished,"['Club House', 'Wi-Fi', 'Parking', 'Garden', 'Swimming Pool']",3.95,2,18284728.81
P43385,Bangalore,Apartment,1024,1,2,14,22,1,Unfurnished,"['Elevator', 'Club House', 'Gym', 'Parking', 'Security']",6.13,3,24762375.18
P90739,Jaipur,Penthouse,4651,5,4,16,26,2,Unfurnished,"['Parking', 'Elevator', 'Power Backup', 'Security']",9.18,6,3163178.62
P36472,Jaipur,Independent House,1403,1,1,11,15,17,Fully Furnished,"['Club House', 'Security', 'Gym', 'Power Backup', 'Garden']",4.23,3,47641408.76
P18839,Mumbai,Independent House,2431,2,2,14,5,9,Unfurnished,"['Garden', 'Swimming Pool', 'Wi-Fi', 'Gym', 'Parking', 'Power Backup']",5.73,10,35290176.9
P97420,Ahmedabad,Apartment,4783,2,2,5,27,3,Unfurnished,"['Swimming Pool', 'Parking', 'Elevator', 'Gym', 'Wi-Fi', 'Power Backup']",8.47,5,36135656.29
P56496,Chennai,Apartment,790,3,3,18,20,8,Unfurnished,"['Parking', 'Swimming Pool', 'Gym', 'Club House']",6.83,4,35519075.49
P34571,Jaipur,Apartment,2493,3,2,14,9,13,Semi Furnished,"['Elevator', 'Garden', 'Wi-Fi', 'Power Backup']",6.77,9,8332340.03
P25699,Ahmedabad,Independent House,4658,3,3,19,11,17,Fully Furnished,"['Club House', 'Elevator', 'Garden', 'Parking']",7.27,5,8158131.07
P31019,Jaipur,Penthouse,4447,3,3,5,17,16,Fully Furnished,"['Gym', 'Garden', 'Wi-Fi', 'Power Backup', 'Club House']",2.76,5,28490755.67
P72852,Chennai,Apartment,1236,2,2,13,11,11,Fully Furnished,"['Parking', 'Wi-Fi', 'Garden', 'Elevator', 'Club House', 'Gym']",7.21,7,30946225.46
P72904,Bangalore,Villa,2104,2,3,18,25,7,Semi Furnished,"['Garden', 'Gym', 'Club House', 'Wi-Fi']",5.61,6,17970218.46
P66781,Ahmedabad,Studio,3565,3,2,15,29,2,Fully Furnished,"['Club House', 'Parking', 'Wi-Fi', 'Power Backup', 'Garden']",8.78,3,9384222.07
P76118,Delhi,Studio,4642,3,4,1,10,3,Semi Furnished,"['Power Backup', 'Garden', 'Club House', 'Gym']",6.51,2,35142857.58
P80844,Jaipur,Villa,4063,2,2,7,30,6,Semi Furnished,"['Power Backup', 'Parking', 'Club House', 'Wi-Fi', 'Swimming Pool']",4.5,3,43715155.18
P73914,Chennai,Penthouse,3238,3,2,16,7,14,Unfurnished,"['Elevator', 'Wi-Fi', 'Parking']",8.02,5,17505059.06
P37557,Jaipur,Studio,1187,2,2,12,16,1,Semi Furnished,"['Power Backup', 'Wi-Fi', 'Swimming Pool']",0.53,2,6803602.97
P106773,Chennai,Duplex,809,2,1,12,23,10,Semi Furnished,"['Security', 'Gym', 'Club House', 'Elevator']",3.78,3,21653600.85
P98140,Delhi,Apartment,4338,1,1,5,13,15,Fully Furnished,"['Elevator', 'Swimming Pool', 'Club House']",1.74,5,14334466.16
P102761,Chennai,Duplex,3163,5,4,4,11,1,Fully Furnished,"['Gym', 'Elevator', 'Wi-Fi', 'Club House', 'Power Backup', 'Security']",8.24,1,7043414.51
P34407,Bangalore,Studio,909,1,3,17,27,16,Unfurnished,"['Wi-Fi', 'Parking', 'Gym', 'Club House', 'Security', 'Garden']",7.47,3,7107363.02
P88550,Delhi,Villa,3195,1,1,18,5,10,Unfurnished,"['Parking', 'Security', 'Gym', 'Swimming Pool']",6.4,4,44540163.49
P21645,Jaipur,Studio,1521,3,1,14,27,19,Semi Furnished,"['Elevator', 'Wi-Fi', 'Club House']",9.3,7,22837625.17
P109055,Kolkata,Villa,1035,4,4,11,6,0,Unfurnished,"['Garden', 'Club House', 'Security', 'Power Backup']",8.62,10,29557006.57
P51669,Hyderabad,Villa,3702,5,3,3,7,1,Fully Furnished,"['Elevator', 'Gym', 'Parking']",3.19,8,27574522.56
P83964,Mumbai,Duplex,2952,1,3,17,6,7,Unfurnished,"['Elevator', 'Swimming Pool', 'Wi-Fi', 'Security', 'Gym', 'Club House']",2.02,6,18065091.14
P31129,Delhi,Villa,3423,4,2,19,27,13,Unfurnished,"['Parking', 'Gym', 'Club House']",7.65,6,44795102.41
P98833,Chennai,Villa,2355,4,3,20,10,13,Fully Furnished,"['Elevator', 'Wi-Fi', 'Garden']",2.36,6,32788991.13
P85139,Pune,Apartment,2819,5,4,16,13,2,Fully Furnished,"['Parking', 'Gym', 'Garden', 'Wi-Fi', 'Elevator', 'Power Backup']",2.12,5,33263447.49
P17471,Ahmedabad,Villa,2951,3,4,4,22,5,Fully Furnished,"['Garden', 'Club House', 'Security', 'Swimming Pool']",2.09,10,32089306.16
P67906,Chennai,Villa,3824,3,4,18,15,11,Fully Furnished,"['Parking', 'Power Backup', 'Club House', 'Swimming Pool', 'Wi-Fi', 'Elevator']",6.36,7,32976766.85
P88801,Delhi,Studio,2272,4,3,11,23,6,Fully Furnished,"['Swimming Pool', 'Parking', 'Elevator', 'Wi-Fi', 'Garden', 'Club House']",9.99,3,37955782.74
P23829,Ahmedabad,Villa,3898,2,1,14,9,18,Unfurnished,"['Swimming Pool', 'Wi-Fi', 'Gym', 'Power Backup']",5.38,10,38650515.13
P82934,Bangalore,Penthouse,4179,3,2,10,24,11,Unfurnished,"['Swimming Pool', 'Power Backup', 'Garden']",5.13,1,20826033.4
P101013,Ahmedabad,Independent House,1330,5,2,19,29,18,Unfurnished,"['Garden', 'Parking', 'Wi-Fi', 'Elevator']",4.42,10,25949773.89
P82805,Pune,Studio,876,1,2,10,22,11,Fully Furnished,"['Power Backup', 'Garden', 'Gym']",6.52,5,47598406.91
P106317,Hyderabad,Apartment,4931,5,2,12,6,19,Unfurnished,"['Garden', 'Club House', 'Parking', 'Gym']",1.71,10,8102405.15
P57924,Ahmedabad,Villa,2783,1,2,17,11,10,Fully Furnished,"['Swimming Pool', 'Gym', 'Power Backup', 'Wi-Fi', 'Club House', 'Security']",5.09,4,34576964.73
P12918,Chandigarh,Studio,4306,1,1,17,24,16,Semi Furnished,"['Parking', 'Wi-Fi', 'Club House']",6.68,4,49971579.58
P94688,Ahmedabad,Duplex,2714,5,4,1,19,16,Semi Furnished,"['Club House', 'Gym', 'Wi-Fi', 'Power Backup']",2.43,10,17809183.5
P92221,Chennai,Studio,4369,3,4,2,19,18,Fully Furnished,"['Power Backup', 'Elevator', 'Security', 'Gym', 'Wi-Fi', 'Swimming Pool']",6.63,2,43102597.22
P39738,Pune,Independent House,1226,3,3,14,20,20,Semi Furnished,"['Power Backup', 'Club House', 'Elevator']",4.87,1,17665047.02
P13346,Jaipur,Independent House,3801,3,3,3,26,10,Unfurnished,"['Swimming Pool', 'Garden', 'Security', 'Club House']",8.36,6,36877510.92
P44119,Jaipur,Duplex,3595,1,2,15,29,5,Fully Furnished,"['Elevator', 'Wi-Fi', 'Garden']",4.04,5,26743928.02
P33423,Pune,Duplex,2841,3,1,6,13,20,Fully Furnished,"['Garden', 'Club House', 'Power Backup', 'Security', 'Parking', 'Swimming Pool']",7.32,3,33330657.18
P47505,Ahmedabad,Apartment,2141,4,3,13,13,16,Unfurnished,"['Garden', 'Gym', 'Power Backup', 'Parking']",7.19,2,28585735.18
P72178,Pune,Duplex,2479,5,2,6,17,9,Unfurnished,"['Security', 'Parking', 'Swimming Pool']",8.13,10,13444409.37
P53974,Kolkata,Villa,2523,1,3,6,5,18,Fully Furnished,"['Elevator', 'Garden', 'Parking']",5.08,9,2778160.41
P53732,Kolkata,Villa,4453,4,3,17,29,20,Unfurnished,"['Elevator', 'Parking', 'Wi-Fi']",1.27,5,28342595.9
P66120,Delhi,Independent House,3807,4,2,6,8,8,Semi Furnished,"['Security', 'Gym', 'Elevator']",4.33,8,38673512.46
P57997,Delhi,Penthouse,1974,5,2,5,20,2,Semi Furnished,"['Parking', 'Security', 'Swimming Pool', 'Elevator', 'Club House', 'Power Backup']",4.35,4,43592602.34
P41741,Chandigarh,Apartment,3095,3,4,10,24,2,Unfurnished,"['Power Backup', 'Garden', 'Swimming Pool', 'Parking', 'Elevator', 'Club House']",8.66,3,19509966.79
P107839,Pune,Duplex,4261,2,1,16,7,20,Unfurnished,"['Club House', 'Security', 'Gym', 'Elevator', 'Wi-Fi']",6.73,4,40832659.8
P26759,Mumbai,Penthouse,3441,2,4,3,18,10,Fully Furnished,"['Elevator', 'Garden', 'Gym', 'Parking', 'Swimming Pool', 'Wi-Fi']",6.53,10,28152637.51
P76924,Kolkata,Independent House,1442,2,1,9,7,7,Fully Furnished,"['Elevator', 'Garden', 'Swimming Pool', 'Parking', 'Power Backup']",0.66,6,38875791.03
P15631,Mumbai,Duplex,998,1,2,7,9,10,Semi Furnished,"['Parking', 'Power Backup', 'Garden', 'Security', 'Swimming Pool', 'Elevator']",5.18,9,41672089.33
P94707,Chennai,Apartment,1037,5,2,8,5,15,Unfurnished,"['Swimming Pool', 'Garden', 'Parking']",3.09,9,47963805.57
P25454,Kolkata,Independent House,2257,3,4,19,14,10,Semi Furnished,"['Garden', 'Elevator', 'Swimming Pool']",5.43,5,31550005.99
P92070,Jaipur,Independent House,2242,5,2,4,11,6,Unfurnished,"['Parking', 'Garden', 'Gym', 'Wi-Fi', 'Elevator']",1.45,6,14673732.15
P63523,Mumbai,Duplex,4760,3,1,4,15,14,Unfurnished,"['Security', 'Power Backup', 'Club House', 'Garden']",2.43,7,31602740.64
P106453,Chandigarh,Villa,1140,1,4,4,30,11,Semi Furnished,"['Gym', 'Power Backup', 'Garden']",1.44,5,15270332.36
P23846,Hyderabad,Villa,809,2,2,3,30,0,Unfurnished,"['Swimming Pool', 'Power Backup', 'Garden', 'Wi-Fi']",0.62,7,46370727.34
P13757,Mumbai,Studio,2813,2,2,15,25,0,Semi Furnished,"['Parking', 'Garden', 'Club House', 'Power Backup', 'Security', 'Gym']",5.9,5,46646147.5
P63671,Kolkata,Penthouse,1871,2,1,19,20,7,Fully Furnished,"['Gym', 'Elevator', 'Security']",2.66,10,23349383.12
P26106,Delhi,Studio,1671,5,2,11,12,6,Fully Furnished,"['Parking', 'Wi-Fi', 'Security']",7.43,5,28527912.58
P24262,Chennai,Duplex,4906,1,1,2,7,11,Unfurnished,"['Power Backup', 'Gym', 'Garden']",2.73,1,37308637.66
P92273,Kolkata,Duplex,2234,5,2,16,21,17,Semi Furnished,"['Garden', 'Swimming Pool', 'Gym', 'Security', 'Parking', 'Wi-Fi']",4.08,1,25382378.03
P33333,Delhi,Penthouse,4077,1,1,16,13,2,Unfurnished,"['Parking', 'Gym', 'Wi-Fi', 'Swimming Pool', 'Elevator', 'Club House']",4.35,9,27447891.22
P87465,Jaipur,Duplex,538,5,4,7,11,13,Unfurnished,"['Garden', 'Wi-Fi', 'Swimming Pool', 'Parking', 'Club House', 'Power Backup']",0.82,7,16765029.53
P31957,Chandigarh,Studio,577,4,4,2,30,19,Semi Furnished,"['Elevator', 'Club House', 'Wi-Fi', 'Swimming Pool', 'Power Backup']",6.74,3,40058151.08
P50488,Chennai,Studio,3915,3,3,1,20,3,Unfurnished,"['Security', 'Parking', 'Wi-Fi', 'Gym', 'Elevator', 'Garden']",8.82,2,41873512.32
P28175,Kolkata,Penthouse,3180,3,1,9,9,15,Fully Furnished,"['Wi-Fi', 'Elevator', 'Club House', 'Power Backup']",1.82,5,4889135.04
P64854,Pune,Independent House,935,3,2,17,13,15,Semi Furnished,"['Parking', 'Wi-Fi', 'Gym', 'Club House', 'Elevator']",1.32,3,23321707.25
P22985,Hyderabad,Independent House,1943,3,4,13,20,20,Unfurnished,"['Swimming Pool', 'Gym', 'Security', 'Elevator', 'Wi-Fi']",7.83,9,9687726.31
P35060,Bangalore,Apartment,4706,3,1,12,30,0,Fully Furnished,"['Gym', 'Power Backup', 'Elevator', 'Security', 'Garden']",2.78,10,35535006.96
P30148,Pune,Independent House,2386,3,1,20,7,8,Unfurnished,"['Power Backup', 'Swimming Pool', 'Garden']",4.01,9,44209008.54
P60355,Jaipur,Duplex,848,5,2,6,26,12,Fully Furnished,"['Parking', 'Wi-Fi', 'Security']",5.05,1,13843124.72
P82457,Chennai,Duplex,1603,1,1,18,28,13,Fully Furnished,"['Power Backup', 'Elevator', 'Security', 'Gym', 'Club House', 'Wi-Fi']",5.17,2,45712326.12
P78930,Jaipur,Duplex,2599,4,2,20,16,10,Semi Furnished,"['Garden', 'Gym', 'Elevator']",5.38,6,39568791.2
P90181,Hyderabad,Independent House,2839,1,4,12,6,0,Semi Furnished,"['Security', 'Swimming Pool', 'Club House', 'Elevator']",7.45,1,18606494.36
P62437,Hyderabad,Villa,4965,3,1,3,9,11,Semi Furnished,"['Security', 'Parking', 'Garden']",7.73,10,7359391.97
P69879,Chandigarh,Apartment,2906,5,3,7,15,10,Unfurnished,"['Security', 'Gym', 'Elevator', 'Swimming Pool', 'Wi-Fi', 'Parking']",4.5,6,7204523.97
P101325,Kolkata,Studio,2627,3,4,18,11,11,Unfurnished,"['Garden', 'Parking', 'Swimming Pool', 'Elevator']",6.93,10,21303005.38
P96363,Delhi,Apartment,826,2,2,11,28,5,Unfurnished,"['Security', 'Elevator', 'Power Backup', 'Garden', 'Swimming Pool', 'Club House']",5.92,4,34028544.79
P97773,Ahmedabad,Villa,2022,1,1,19,29,19,Unfurnished,"['Club House', 'Security', 'Parking']",6.01,2,5130815.64
P35054,Bangalore,Studio,2658,3,3,7,24,3,Fully Furnished,"['Power Backup', 'Swimming Pool', 'Wi-Fi']",9.93,8,32982465
P64030,Bangalore,Penthouse,4184,1,1,20,25,19,Semi Furnished,"['Gym', 'Elevator', 'Garden', 'Swimming Pool', 'Wi-Fi', 'Security']",8.09,1,3550107.74
P65859,Delhi,Villa,1497,5,4,11,24,7,Unfurnished,"['Wi-Fi', 'Parking', 'Club House']",3.44,9,41571909.09
P108770,Mumbai,Penthouse,2415,2,2,15,26,10,Unfurnished,"['Power Backup', 'Wi-Fi', 'Elevator']",8.98,6,6565363.24
P18015,Hyderabad,Duplex,2524,3,4,11,27,5,Fully Furnished,"['Parking', 'Elevator', 'Club House', 'Power Backup', 'Gym']",1.98,10,37006681.87
P46964,Jaipur,Apartment,2347,4,3,4,11,11,Semi Furnished,"['Club House', 'Security', 'Swimming Pool', 'Gym', 'Elevator', 'Power Backup']",5.12,2,10876250.62
P22299,Jaipur,Villa,750,4,2,16,15,14,Unfurnished,"['Security', 'Elevator', 'Gym', 'Garden']",5.4,6,17071560.79
P32772,Bangalore,Duplex,3973,1,2,5,30,9,Fully Furnished,"['Club House', 'Power Backup', 'Parking']",3.36,7,6900667.52
P87754,Jaipur,Duplex,1324,2,2,11,9,3,Semi Furnished,"['Elevator', 'Security', 'Wi-Fi', 'Parking']",8.87,10,26324183.15
P29303,Hyderabad,Studio,2665,5,3,13,28,13,Fully Furnished,"['Club House', 'Elevator', 'Garden']",6.36,10,4694381.29
P40961,Kolkata,Studio,2638,2,2,3,21,14,Unfurnished,"['Security', 'Gym', 'Club House']",4.27,1,29503164.7
P97147,Delhi,Villa,1579,3,4,8,5,10,Fully Furnished,"['Wi-Fi', 'Club House', 'Gym']",9.13,4,43991752.66
P30096,Chennai,Apartment,2214,4,4,1,24,0,Unfurnished,"['Security', 'Gym', 'Parking', 'Elevator', 'Club House']",4.79,8,48060075.53
P28387,Delhi,Duplex,3345,5,1,14,11,4,Fully Furnished,"['Garden', 'Club House', 'Security', 'Swimming Pool', 'Parking', 'Gym']",7.91,6,20090567.6
P35368,Delhi,Independent House,2063,2,1,1,17,11,Unfurnished,"['Wi-Fi', 'Security', 'Gym', 'Swimming Pool']",9.36,8,23017353.43
P44709,Chandigarh,Villa,2175,1,2,14,5,8,Unfurnished,"['Elevator', 'Swimming Pool', 'Wi-Fi']",7.91,5,12849807.52
P102857,Delhi,Apartment,1708,3,2,10,20,1,Unfurnished,"['Club House', 'Swimming Pool', 'Power Backup']",2.55,8,22082662.79
P64563,Hyderabad,Independent House,2730,2,1,6,12,0,Unfurnished,"['Club House', 'Garden', 'Swimming Pool']",3.68,9,49651270.8
P16616,Bangalore,Independent House,4769,4,2,19,7,15,Unfurnished,"['Gym', 'Garden', 'Wi-Fi', 'Elevator']",3.69,9,4695818.34
P55669,Hyderabad,Independent House,3365,5,3,20,7,3,Semi Furnished,"['Wi-Fi', 'Parking', 'Power Backup', 'Elevator', 'Security', 'Garden']",9.71,7,26348684.98
P30776,Hyderabad,Duplex,2970,3,3,14,9,17,Unfurnished,"['Garden', 'Security', 'Parking', 'Gym', 'Club House', 'Power Backup']",5.38,9,13644208.04
P15290,Kolkata,Apartment,4082,5,4,7,12,6,Unfurnished,"['Wi-Fi', 'Club House', 'Swimming Pool', 'Garden']",4.53,6,15586520.03
P77273,Chennai,Penthouse,3612,1,4,12,15,5,Semi Furnished,"['Power Backup', 'Parking', 'Security', 'Gym', 'Club House', 'Swimming Pool']",2.99,7,33755126.93
P106399,Bangalore,Apartment,3463,4,3,13,5,7,Semi Furnished,"['Garden', 'Power Backup', 'Wi-Fi']",8.98,5,33166323.49
P39348,Kolkata,Duplex,4250,2,3,17,13,14,Fully Furnished,"['Gym', 'Garden', 'Power Backup', 'Elevator']",8.19,5,5707376.57
P66932,Delhi,Villa,1786,4,1,10,28,5,Unfurnished,"['Garden', 'Power Backup', 'Club House', 'Parking', 'Gym']",7.48,6,40950491.93
P13683,Delhi,Independent House,4015,5,3,1,18,4,Fully Furnished,"['Elevator', 'Club House', 'Garden', 'Swimming Pool', 'Power Backup']",9.36,5,27995486.62
P47443,Mumbai,Villa,3966,4,1,10,26,20,Semi Furnished,"['Elevator', 'Swimming Pool', 'Gym', 'Parking', 'Security', 'Power Backup']",4.73,1,36630836.41
P49520,Chennai,Independent House,2577,2,1,10,5,18,Unfurnished,"['Wi-Fi', 'Elevator', 'Club House']",9.66,7,12153614.17
P45131,Mumbai,Duplex,3069,5,3,19,14,12,Unfurnished,"['Swimming Pool', 'Garden', 'Wi-Fi', 'Gym', 'Elevator', 'Power Backup']",2.25,5,7423493.88
P42484,Kolkata,Penthouse,2789,5,3,16,8,0,Semi Furnished,"['Security', 'Elevator', 'Swimming Pool', 'Wi-Fi', 'Garden']",6.29,10,38248813.72
P12849,Mumbai,Independent House,518,2,4,14,28,12,Fully Furnished,"['Garden', 'Parking', 'Elevator', 'Club House', 'Power Backup', 'Gym']",2.79,7,21468441.73
P12431,Chandigarh,Villa,2464,1,4,13,18,9,Fully Furnished,"['Power Backup', 'Gym', 'Wi-Fi', 'Club House']",7.03,4,47123105.68
P47841,Delhi,Villa,3771,3,1,18,22,2,Fully Furnished,"['Security', 'Club House', 'Garden', 'Swimming Pool', 'Elevator', 'Wi-Fi']",4.53,2,4441023.98
P86925,Delhi,Studio,1924,1,3,15,19,18,Unfurnished,"['Security', 'Elevator', 'Parking']",7.81,8,27241234.4
P74080,Pune,Duplex,2335,4,2,13,21,0,Fully Furnished,"['Elevator', 'Parking', 'Security', 'Garden', 'Wi-Fi', 'Power Backup']",3.52,1,13219303.45
P66324,Chandigarh,Duplex,2661,2,1,11,18,13,Semi Furnished,"['Security', 'Elevator', 'Parking', 'Gym']",1.33,2,17790205.11
P49885,Hyderabad,Studio,2008,2,4,7,14,12,Semi Furnished,"['Security', 'Garden', 'Elevator', 'Swimming Pool']",8.24,7,26828871.15
P64437,Chennai,Duplex,3927,2,2,14,17,15,Semi Furnished,"['Garden', 'Security', 'Wi-Fi', 'Gym', 'Swimming Pool']",5.92,5,39137676.22
P94583,Delhi,Independent House,2799,5,3,8,17,3,Unfurnished,"['Elevator', 'Garden', 'Gym', 'Swimming Pool', 'Parking']",1.7,3,4195089.67
P26330,Mumbai,Villa,2645,2,3,15,23,3,Semi Furnished,"['Wi-Fi', 'Power Backup', 'Elevator', 'Swimming Pool']",1.95,7,40340165.98
P23366,Delhi,Penthouse,535,4,3,8,13,15,Fully Furnished,"['Wi-Fi', 'Elevator', 'Gym', 'Security', 'Parking', 'Swimming Pool']",9.18,7,25415238.6
P83591,Bangalore,Independent House,3744,5,4,7,19,16,Fully Furnished,"['Swimming Pool', 'Gym', 'Power Backup', 'Wi-Fi']",1.11,4,38624088.33
P44275,Hyderabad,Duplex,2540,5,4,5,15,18,Semi Furnished,"['Club House', 'Garden', 'Swimming Pool', 'Wi-Fi', 'Gym', 'Parking']",3.61,2,43064559.23
P42411,Bangalore,Studio,3612,5,2,8,11,9,Semi Furnished,"['Parking', 'Power Backup', 'Swimming Pool']",2.54,7,17472155.93
P36084,Mumbai,Independent House,3638,5,1,18,7,20,Fully Furnished,"['Swimming Pool', 'Garden', 'Club House']",5.1,6,4371974.79
P20224,Chennai,Villa,2603,3,1,11,14,3,Semi Furnished,"['Elevator', 'Garden', 'Power Backup']",4.16,7,3177570.76
P13161,Hyderabad,Independent House,3974,5,3,11,23,13,Semi Furnished,"['Club House', 'Power Backup', 'Gym']",4.28,10,18982110.65
P39910,Ahmedabad,Penthouse,2586,2,3,5,10,2,Unfurnished,"['Elevator', 'Club House', 'Garden', 'Power Backup', 'Parking', 'Wi-Fi']",2.62,2,5842790.64
P16966,Pune,Independent House,2448,5,3,1,21,2,Unfurnished,"['Club House', 'Parking', 'Gym', 'Security', 'Elevator']",6.49,9,36238194.47
P46023,Mumbai,Independent House,4650,1,2,8,26,5,Unfurnished,"['Elevator', 'Security', 'Club House', 'Swimming Pool', 'Power Backup']",0.64,8,46059807.11
P77823,Pune,Independent House,3744,2,1,2,22,17,Semi Furnished,"['Swimming Pool', 'Club House', 'Wi-Fi', 'Security', 'Gym', 'Power Backup']",4.81,7,42468598.89
P36206,Mumbai,Penthouse,4684,3,3,2,23,18,Unfurnished,"['Wi-Fi', 'Parking', 'Swimming Pool', 'Security', 'Elevator']",3.71,9,21431641.27
P45763,Mumbai,Studio,3664,3,4,4,24,1,Fully Furnished,"['Wi-Fi', 'Security', 'Garden', 'Club House', 'Swimming Pool']",4.82,1,10719171.91
P73423,Bangalore,Villa,972,3,4,16,28,16,Unfurnished,"['Garden', 'Club House', 'Power Backup', 'Security', 'Parking', 'Gym']",8.25,10,21705217.46
P20243,Chandigarh,Villa,2438,4,1,19,8,6,Semi Furnished,"['Wi-Fi', 'Swimming Pool', 'Security']",5.54,1,41700278.07
P26278,Mumbai,Apartment,2759,5,4,3,9,16,Unfurnished,"['Security', 'Gym', 'Garden']",4.28,1,8761165.19
P97803,Hyderabad,Studio,4925,2,1,1,23,19,Fully Furnished,"['Power Backup', 'Elevator', 'Parking', 'Security', 'Club House']",7.39,10,2128978.55
P29357,Hyderabad,Independent House,4730,2,2,4,7,3,Fully Furnished,"['Garden', 'Gym', 'Wi-Fi', 'Elevator', 'Swimming Pool', 'Parking']",9.67,4,47539306.04
P95489,Delhi,Penthouse,3460,2,2,16,15,20,Fully Furnished,"['Swimming Pool', 'Power Backup', 'Elevator']",3.52,5,8462516.83
P102149,Kolkata,Independent House,510,1,2,12,8,10,Semi Furnished,"['Wi-Fi', 'Parking', 'Power Backup', 'Garden']",9.02,8,46757497.41
P43991,Bangalore,Apartment,1307,3,1,6,5,8,Unfurnished,"['Power Backup', 'Club House', 'Parking', 'Security', 'Wi-Fi', 'Gym']",6.23,3,39049097.5
P56965,Delhi,Penthouse,2880,1,4,9,28,3,Fully Furnished,"['Wi-Fi', 'Parking', 'Power Backup', 'Swimming Pool']",1.25,8,24655523.1
P58796,Mumbai,Independent House,4902,3,3,9,24,1,Semi Furnished,"['Security', 'Club House', 'Wi-Fi']",5.84,2,15038546.4
P95060,Chandigarh,Duplex,4577,2,2,20,8,12,Unfurnished,"['Parking', 'Power Backup', 'Security']",5.93,8,33988624.34
P53967,Delhi,Independent House,4667,1,4,3,13,19,Semi Furnished,"['Security', 'Garden', 'Swimming Pool', 'Power Backup']",4.92,9,6315456.38
